Time,Temp,Method
0,294.65,pseudoTrapezoid
60,295.19501708437707,pseudoTrapezoid
120,296.2604312738657,pseudoTrapezoid
180,297.2777176596463,pseudoTrapezoid
240,298.24905031215326,pseudoTrapezoid
300,299.1765050928463,pseudoTrapezoid
360,300.0620640905906,pseudoTrapezoid
420,300.9076198576328,pseudoTrapezoid
480,301.7149794542261,pseudoTrapezoid
540,302.4858683105477,pseudoTrapezoid
600,303.2219339141626,pseudoTrapezoid
660,303.92474933091444,pseudoTrapezoid
720,304.59581656676716,pseudoTrapezoid
780,305.2365697777826,pseudoTrapezoid
840,305.8483783350951,pseudoTrapezoid
900,306.43254975143105,pseudoTrapezoid
960,306.99033247543065,pseudoTrapezoid
1020,307.5229185597409,pseudoTrapezoid
1080,308.03144620858427,pseudoTrapezoid
1140,308.51700221024555,pseudoTrapezoid
1200,308.98062425967703,pseudoTrapezoid
1260,309.42330317618433,pseudoTrapezoid
1320,309.84598502093354,pseudoTrapezoid
1380,310.24957311880405,pseudoTrapezoid
1440,310.63492998890894,pseudoTrapezoid
1500,311.0028791879082,pseudoTrapezoid
1560,311.3542070700537,pseudoTrapezoid
1620,311.6896644677285,pseudoTrapezoid
1680,312.0099682960713,pseudoTrapezoid
1740,312.3158030851151,pseudoTrapezoid
1800,312.607822442715,pseudoTrapezoid
1860,312.8866504513915,pseudoTrapezoid
1920,313.152883002074,pseudoTrapezoid
1980,313.4070890675958,pseudoTrapezoid
2040,313.64981191866116,pseudoTrapezoid
2100,313.8815702848841,pseudoTrapezoid
2160,314.10285946337956,pseudoTrapezoid
2220,314.3141523772763,pseudoTrapezoid
2280,314.51590058641386,pseudoTrapezoid
2340,314.7085352523833,pseudoTrapezoid
2400,314.8924680599744,pseudoTrapezoid
2460,315.06809209699867,pseudoTrapezoid
2520,315.23578269436746,pseudoTrapezoid
2580,315.39589822822256,pseudoTrapezoid
2640,315.548780885831,pseudoTrapezoid
2700,315.69475739688306,pseudoTrapezoid
2760,315.8341397317554,pseudoTrapezoid
2820,315.967225768231,pseudoTrapezoid
2880,316.09429992810226,pseudoTrapezoid
2940,316.2156337850163,pseudoTrapezoid
3000,316.33148664486237,pseudoTrapezoid
3060,316.44210609994184,pseudoTrapezoid
3120,316.54772855810415,pseudoTrapezoid
3180,316.6485797479806,pseudoTrapezoid
3240,316.74487520139513,pseudoTrapezoid
3300,316.8368207139832,pseudoTrapezoid
3360,316.9246127850033,pseudoTrapezoid
3420,317.008439037281,pseudoTrapezoid
3480,317.0884786181824,pseudoTrapezoid
3540,317.1649025824753,pseudoTrapezoid
3600,317.2378742578946,pseudoTrapezoid
3660,317.3075495941948,pseudoTrapezoid
0,294.65,Midpoint Euler
60,295.19501708437707,Midpoint Euler
120,295.7277241791214,Midpoint Euler
180,296.2483993229387,Midpoint Euler
240,296.7573142746333,Midpoint Euler
300,297.25473465494855,Midpoint Euler
360,297.7409200852038,Midpoint Euler
420,298.2161243228,Midpoint Euler
480,298.6805953936644,Midpoint Euler
540,299.13457572170455,Midpoint Euler
600,299.57830225533735,Midpoint Euler
660,300.01200659116137,Midpoint Euler
720,300.4359150948349,Midpoint Euler
780,300.8502490192245,Midpoint Euler
840,301.2552246198846,Midpoint Euler
900,301.6510532679287,Midpoint Euler
960,302.037941560352,Midpoint Euler
1020,302.4160914278611,Midpoint Euler
1080,302.78570024026914,Midpoint Euler
1140,303.14696090951,Midpoint Euler
1200,303.50006199032595,Midpoint Euler
1260,303.84518777868084,Midpoint Euler
1320,304.18251840795097,Midpoint Euler
1380,304.5122299429428,Midpoint Euler
1440,304.83449447178765,Midpoint Euler
1500,305.14948019576053,Midpoint Euler
1560,305.4573515170702,Midpoint Euler
1620,305.7582691246667,Midpoint Euler
1680,306.0523900781105,Midpoint Euler
1740,306.3398678895474,Midpoint Euler
1800,306.6208526038322,Midpoint Euler
1860,306.8954908768421,Midpoint Euler
1920,307.16392605202174,Midpoint Euler
1980,307.4262982351994,Midpoint Euler
2040,307.6827443677129,Midpoint Euler
2100,307.93339829788437,Midpoint Euler
2160,308.17839085088013,Midpoint Euler
2220,308.4178498969934,Midpoint Euler
2280,308.651900418384,Midpoint Euler
2340,308.88066457431114,Midpoint Euler
2400,309.1042617648925,Midpoint Euler
2460,309.3228086934236,Midpoint Euler
2520,309.5364194272892,Midpoint Euler
2580,309.7452054574993,Midpoint Euler
2640,309.94927575687996,Midpoint Euler
2700,310.1487368369503,Midpoint Euler
2760,310.3436928035147,Midpoint Euler
2820,310.5342454109991,Midpoint Euler
2880,310.72049411556037,Midpoint Euler
2940,310.90253612699587,Midpoint Euler
3000,311.0804664594808,Midpoint Euler
3060,311.2543779811596,Midpoint Euler
3120,311.42436146261684,Midpoint Euler
3180,311.5905056242537,Midpoint Euler
3240,311.7528971825944,Midpoint Euler
3300,311.9116208955465,Midpoint Euler
3360,312.06675960663915,Midpoint Euler
3420,312.21839428826206,Midpoint Euler
3480,312.3666040839277,Midpoint Euler
3540,312.5114663495793,Midpoint Euler
3600,312.65305669396554,Midpoint Euler
3660,312.7914490181035,Midpoint Euler
0,294.65,2ndOrderRungeKutta
60,295.7154141894886,2ndOrderRungeKutta
120,296.73378761048644,2ndOrderRungeKutta
180,297.70719723354813,2ndOrderRungeKutta
240,298.6376283256526,2ndOrderRungeKutta
300,299.52697849915074,2ndOrderRungeKutta
360,300.3770615819422,2ndOrderRungeKutta
420,301.18961131677366,2ndOrderRungeKutta
480,301.96628489720376,2ndOrderRungeKutta
540,302.70866634744596,2ndOrderRungeKutta
600,303.4182697529828,2ndOrderRungeKutta
660,304.09654234854025,2ndOrderRungeKutta
720,304.7448674697201,2ndOrderRungeKutta
780,305.3645673743098,2ndOrderRungeKutta
840,305.9569059390251,2ndOrderRungeKutta
900,306.52309123718373,2ndOrderRungeKutta
960,307.0642780025685,2ndOrderRungeKutta
1020,307.5815699845048,2ndOrderRungeKutta
1080,308.07602219895494,2ndOrderRungeKutta
1140,308.548643080221,2ndOrderRungeKutta
1200,309.0003965376448,2ndOrderRungeKutta
1260,309.432203921499,2ndOrderRungeKutta
1320,309.84494590207913,2ndOrderRungeKutta
1380,310.2394642658289,2ndOrderRungeKutta
1440,310.6165636321618,2ndOrderRungeKutta
1500,310.9770130944811,2ndOrderRungeKutta
1560,311.32154778874406,2ndOrderRungeKutta
1620,311.6508703927704,2ndOrderRungeKutta
1680,311.9656525593522,2ndOrderRungeKutta
1740,312.26653628608835,2ndOrderRungeKutta
1800,312.5541352247377,2ndOrderRungeKutta
1860,312.82903593276023,2ndOrderRungeKutta
1920,313.0917990696,2ndOrderRungeKutta
1980,313.34296054014885,2ndOrderRungeKutta
2040,313.58303258772355,2ndOrderRungeKutta
2100,313.81250483878483,2ndOrderRungeKutta
2160,314.03184530152964,2ndOrderRungeKutta
2220,314.24150132039296,2ndOrderRungeKutta
2280,314.4419004884058,2ndOrderRungeKutta
2340,314.6334515192704,2ndOrderRungeKutta
2400,314.81654508093106,2ndOrderRungeKutta
2460,314.99155459234044,2ndOrderRungeKutta
2520,315.15883698504695,2ndOrderRungeKutta
2580,315.3187334311558,2ndOrderRungeKutta
2640,315.471570039149,2ndOrderRungeKutta
2700,315.6176585189828,2ndOrderRungeKutta
2760,315.75729681781957,2ndOrderRungeKutta
2820,315.8907697276903,2ndOrderRungeKutta
2880,316.01834946632783,2ndOrderRungeKutta
2940,316.14029623235376,2ndOrderRungeKutta
3000,316.2568587359535,2ndOrderRungeKutta
3060,316.36827470611985,2ndOrderRungeKutta
3120,316.4747713755011,2ndOrderRungeKutta
3180,316.5765659438415,2ndOrderRungeKutta
3240,316.6738660209594,2ndOrderRungeKutta
3300,316.7668700501675,2ndOrderRungeKutta
3360,316.85576771299725,2ndOrderRungeKutta
3420,316.9407403160542,2ndOrderRungeKutta
3480,317.0219611607923,2ndOrderRungeKutta
3540,317.09959589696183,2ndOrderRungeKutta
3600,317.17380286045193,2ndOrderRungeKutta
3660,317.2447333962162,2ndOrderRungeKutta
0,294.65,4thOrderRungeKutta
60,295.4103710169285,4thOrderRungeKutta
120,296.1467819372951,4thOrderRungeKutta
180,296.85998776913465,4thOrderRungeKutta
240,297.5507197293787,4thOrderRungeKutta
300,298.21968599353846,4thOrderRungeKutta
360,298.86757242176407,4thOrderRungeKutta
420,299.4950432620256,4thOrderRungeKutta
480,300.10274183113563,4thOrderRungeKutta
540,300.69129117431225,4thOrderRungeKutta
600,301.26129470395836,4thOrderRungeKutta
660,301.8133368183126,4thOrderRungeKutta
720,302.34798350060584,4thOrderRungeKutta
780,302.86578289933743,4thOrderRungeKutta
840,303.36726589026665,4thOrderRungeKutta
900,303.85294662069504,4thOrderRungeKutta
960,304.3233230365977,4thOrderRungeKutta
1020,304.7788773931444,4thOrderRungeKutta
1080,305.2200767491334,4thOrderRungeKutta
1140,305.6473734458453,4thOrderRungeKutta
1200,306.06120557080754,4thOrderRungeKutta
1260,306.46199740694533,4thOrderRungeKutta
1320,306.8501598675792,4thOrderRungeKutta
1380,307.2260909177155,4thOrderRungeKutta
1440,307.59017598206157,4thOrderRungeKutta
1500,307.9427883401836,4thOrderRungeKutta
1560,308.2842895092131,4thOrderRungeKutta
1620,308.61502961449384,4thOrderRungeKutta
1680,308.9353477485487,4thOrderRungeKutta
1740,309.24557231873587,4thOrderRungeKutta
1800,309.5460213839497,4thOrderRungeKutta
1860,309.83700298071176,4thOrderRungeKutta
1920,310.1188154389862,4thOrderRungeKutta
1980,310.391747688044,4thOrderRungeKutta
2040,310.65607955268854,4thOrderRungeKutta
2100,310.91208204014714,4thOrderRungeKutta
2160,311.1600176179221,4thOrderRungeKutta
2220,311.4001404828867,4thOrderRungeKutta
2280,311.6326968219012,4thOrderRungeKutta
2340,311.8579250642171,4thOrderRungeKutta
2400,312.0760561259275,4thOrderRungeKutta
2460,312.2873136467146,4thOrderRungeKutta
2520,312.4919142191373,4thOrderRungeKutta
2580,312.6900676106934,4thOrderRungeKutta
2640,312.8819769788845,4thOrderRungeKutta
2700,313.0678390795041,4thOrderRungeKutta
2760,313.2478444683621,4thOrderRungeKutta
2820,313.4221776966528,4thOrderRungeKutta
2880,313.5910175001669,4thOrderRungeKutta
2940,313.75453698254097,4thOrderRungeKutta
3000,313.9129037927323,4thOrderRungeKutta
3060,314.06628029690216,4thOrderRungeKutta
3120,314.21482374488176,4thOrderRungeKutta
3180,314.3586864313936,4thOrderRungeKutta
3240,314.4980158521921,4thOrderRungeKutta
3300,314.6329548552841,4thOrderRungeKutta
3360,314.7636417873843,4thOrderRungeKutta
3420,314.8902106357559,4thOrderRungeKutta
3480,315.0127911655815,4thOrderRungeKutta
3540,315.1315090530051,4thOrderRungeKutta
3600,315.2464860139823,4thOrderRungeKutta
3660,315.35783992906994,4thOrderRungeKutta